Station Number,2022102409,2022102412,2022102415,2022102418,2022102421,2022102424,2022102503,2022102506,2022102509,2022102512,2022102515,2022102518,2022102521,2022102524,2022102603,2022102606,2022102609,2022102612,2022102615,2022102618,2022102621,2022102624
11001,5,7,5,3,3,3,2,1,5,8,8,5,5,4,5,5,10,11,10,8,8,9
11016,6,8,6,4,4,4,3,4,7,9,8,6,6,6,5,6,10,11,11,9,9,10
11046,6,7,6,3,4,3,3,4,7,8,8,5,5,6,7,8,11,11,11,9,10,11
11076,5,7,6,2,2,1,0,0,5,8,8,3,3,2,1,2,8,11,10,7,6,6
11121,5,7,7,2,0,0,0,0,5,9,8,3,0,0,0,1,8,10,10,6,6,7
11151,6,8,7,4,3,2,2,4,7,9,9,5,5,6,7,8,11,13,11,9,10,12
11176,5,7,7,2,0,0,0,0,5,8,8,5,3,1,1,3,8,11,10,7,7,8
11206,4,6,6,3,2,1,0,0,5,7,7,4,3,2,1,2,7,10,10,8,7,7
11276,4,7,6,1,0,0,0,0,3,8,8,3,0,0,0,0,4,10,9,5,7,6
11291,5,6,6,3,3,2,1,0,5,9,8,5,4,4,2,2,6,10,10,8,6,6
11316,4,6,6,1,0,0,0,0,2,8,8,3,0,0,0,0,3,10,10,5,5,4
12011,4,7,7,3,0,0,0,0,3,9,9,5,2,0,0,0,5,10,10,7,8,7
12041,3,6,6,2,0,0,0,0,2,8,8,3,2,0,0,0,3,10,9,6,7,6
12141,4,6,6,2,0,0,0,0,1,7,8,4,1,0,0,0,3,9,10,5,5,5
12181,4,6,7,2,0,0,0,0,2,8,8,3,0,0,0,0,2,9,10,4,4,5
12231,3,4,4,1,0,0,0,0,1,7,6,1,0,0,0,0,1,8,8,3,2,3
12261,4,6,5,2,1,0,0,0,1,7,7,3,1,0,0,0,2,8,9,4,4,5
12266,4,4,5,3,2,0,0,0,3,6,6,2,1,0,0,0,4,8,8,3,2,3
12301,4,4,4,1,1,0,0,0,1,7,7,2,1,0,0,0,3,8,8,5,4,5
12386,2,6,6,2,0,0,0,0,2,7,7,1,0,0,0,0,4,8,9,2,2,1
12396,2,5,5,2,1,1,0,0,3,7,7,2,1,0,0,0,3,7,8,3,3,4
12411,3,3,3,1,2,0,0,0,3,6,5,0,0,0,0,0,2,7,7,2,0,0
12442,2,6,5,4,2,1,0,0,3,7,7,4,3,2,0,0,4,8,8,7,5,3
12451,2,4,4,3,2,1,0,0,3,7,6,2,2,1,0,0,3,8,8,4,2,2
12512,3,4,4,1,1,0,0,0,4,6,6,0,1,0,0,0,5,8,7,2,2,1
12551,3,5,5,1,1,0,0,0,3,7,7,1,0,0,0,0,3,8,8,2,0,0
12596,3,4,5,3,1,0,0,0,3,8,7,3,2,0,0,0,4,10,9,5,2,1
12626,3,3,5,2,1,0,0,0,1,7,7,2,2,0,0,0,3,9,9,4,2,1
12632,5,5,6,2,0,0,0,0,2,8,7,1,1,0,0,0,4,9,9,4,1,0
12691,7,6,4,4,1,0,0,0,2,7,7,2,0,0,0,0,2,8,8,3,0,0
12746,5,7,5,2,0,0,0,0,2,7,7,0,0,0,0,0,1,8,8,1,0,0
15041,2,5,5,1,0,0,0,0,1,7,6,1,0,0,0,0,2,9,8,4,5,4
15076,3,5,5,1,0,0,0,0,2,7,7,2,0,0,0,0,3,8,9,4,3,4
13061,5,7,7,2,0,0,0,0,6,9,9,4,3,2,1,3,8,11,10,8,8,9
13086,4,7,7,2,0,0,0,0,4,9,8,5,3,2,1,2,8,11,11,8,8,9
13121,5,8,7,2,0,0,0,0,6,9,8,5,3,1,2,2,8,11,11,7,8,9
13146,5,9,7,5,4,3,3,4,6,9,8,6,7,7,8,9,11,13,12,10,10,10
13181,5,8,8,4,2,0,0,0,5,9,9,5,4,3,2,1,7,11,11,8,9,9
13261,5,7,7,2,0,0,0,0,3,9,9,3,1,0,0,0,6,10,10,5,5,5
13277,5,7,8,4,2,0,0,0,3,9,9,5,4,3,2,2,6,10,10,8,6,6
13311,6,8,9,4,2,0,0,0,6,9,8,4,3,3,3,2,8,11,11,7,7,7
13321,5,7,7,2,0,0,0,0,3,9,9,3,0,0,0,0,5,10,10,4,3,3
14026,5,7,8,3,1,1,0,0,5,9,9,4,1,0,1,1,7,10,11,6,5,4
14071,5,6,8,4,2,1,0,0,6,9,9,4,2,1,1,0,7,10,10,5,2,2
14101,6,5,6,4,3,1,0,0,5,8,8,6,2,0,0,0,4,8,8,4,2,2
14116,9,5,6,4,3,2,0,0,5,9,10,5,4,3,1,0,9,12,12,6,5,4
14121,7,5,7,4,3,1,0,0,5,9,9,6,4,3,1,0,7,11,11,6,4,4
14136,8,5,6,3,2,1,0,0,4,8,8,5,2,0,0,0,5,9,9,3,1,0
14163,9,6,7,6,5,4,2,1,6,9,9,6,6,5,4,2,7,10,10,9,7,6
14206,8,7,6,4,3,2,0,0,5,8,8,4,2,0,0,0,6,9,9,3,1,0
14286,8,5,4,3,2,1,0,0,5,6,7,4,4,3,2,2,6,8,8,5,5,5
15116,4,7,7,2,0,0,0,0,2,8,9,4,0,0,0,0,5,9,9,4,3,3
15161,4,5,6,3,2,0,0,0,3,7,7,4,1,0,0,0,5,8,9,4,2,3
15231,4,6,7,3,0,0,0,0,2,8,7,3,0,0,0,0,5,10,10,4,1,0
15241,3,5,6,3,2,0,0,0,2,7,7,4,2,0,0,0,5,9,9,6,3,2
15251,5,5,6,3,2,0,0,0,3,7,7,2,2,1,0,0,5,9,9,6,3,2
15311,5,6,7,2,1,0,0,0,5,8,8,3,0,0,0,0,5,10,10,3,1,0
15321,4,5,6,4,2,0,0,0,4,7,7,4,1,0,0,0,4,9,9,4,2,1
15356,7,4,6,4,3,2,0,0,5,7,7,5,3,2,1,0,6,9,9,6,4,3
15431,8,7,6,4,3,2,0,0,5,8,8,6,4,1,0,0,6,9,9,5,3,2
15442,7,8,5,2,0,0,0,0,5,8,7,1,1,0,0,0,5,8,7,3,2,1
16026,7,9,9,5,4,3,4,3,7,9,9,3,1,0,0,1,9,12,10,6,5,6
16061,6,10,10,6,5,4,4,4,8,10,9,5,5,4,5,5,9,11,11,8,8,8
16076,5,7,8,5,5,3,2,2,6,9,8,4,2,1,0,0,7,11,11,6,4,5
16091,7,6,7,6,5,3,2,1,5,8,8,5,5,4,3,2,7,10,10,7,7,6
16156,5,9,9,5,3,3,2,1,6,10,9,5,3,2,0,0,7,11,11,6,5,5
16206,7,9,9,5,3,1,0,0,4,10,9,5,2,0,0,0,5,11,11,5,4,4
16217,4,8,8,4,3,2,0,0,4,8,8,4,2,0,0,0,4,10,10,6,4,4
