Station Number,2022100803,2022100806,2022100809,2022100812,2022100815,2022100818,2022100821,2022100824,2022100903,2022100906,2022100909,2022100912,2022100915,2022100918,2022100921,2022100924,2022101003,2022101006,2022101009,2022101012,2022101015,2022101018,2022101021,2022101024
11001,6,7,8,10,8,5,6,5,4,6,10,13,11,8,8,8,10,10,14,15,13,11,12,12
11016,5,7,9,11,9,6,6,6,6,7,11,13,12,10,9,9,10,11,14,15,14,13,13,13
11046,5,6,9,9,8,6,6,5,4,6,11,13,12,9,9,9,10,11,13,14,13,13,14,13
11076,6,6,8,8,8,5,3,2,2,3,10,11,11,8,8,8,9,10,14,14,13,13,13,12
11121,3,5,8,10,9,5,4,3,2,1,10,13,12,6,4,4,5,6,12,14,13,12,12,10
11151,5,5,8,8,9,6,6,5,5,4,9,13,12,9,9,9,11,11,13,15,14,14,16,14
11176,4,6,10,10,8,6,5,4,3,2,10,13,13,7,6,5,6,7,13,14,13,13,13,12
11206,7,7,7,8,7,5,3,3,2,3,10,12,11,8,7,8,9,9,14,14,13,12,13,13
11276,4,5,9,10,9,5,3,2,1,0,9,14,14,7,6,4,3,3,12,14,13,12,12,14
11291,7,7,8,10,10,6,6,4,3,4,9,12,13,9,9,9,8,10,13,14,13,13,13,13
11316,4,4,7,10,10,5,3,1,0,0,8,13,13,8,6,3,2,4,10,14,13,11,12,11
12011,4,5,10,12,10,6,4,3,2,1,9,14,14,8,7,4,4,6,11,14,13,12,13,12
12041,4,5,7,11,11,6,4,3,1,1,8,13,13,7,6,5,4,4,9,13,12,11,12,13
12141,3,5,8,11,11,6,4,3,2,0,7,12,12,8,6,3,5,5,9,13,12,11,12,12
12181,4,6,8,11,11,6,5,3,3,2,8,12,12,8,6,3,5,6,10,14,12,11,11,12
12231,3,3,7,10,10,6,3,2,0,0,6,12,12,7,6,3,3,4,11,14,12,11,11,12
12261,3,3,7,10,10,7,6,4,3,2,7,12,11,7,7,7,7,5,9,14,12,12,14,12
12266,3,5,8,10,11,7,5,4,2,2,8,11,11,7,6,6,6,6,12,13,12,12,13,12
12301,4,4,6,11,11,8,6,4,3,4,8,12,12,8,8,8,7,6,9,12,12,14,15,13
12386,4,5,7,11,11,7,6,4,3,2,8,12,12,7,5,5,6,7,10,12,13,12,14,12
12396,5,4,8,12,12,7,6,5,3,3,8,13,13,8,7,6,6,7,11,12,12,14,14,11
12411,2,2,5,9,9,6,4,2,0,0,6,11,12,7,4,3,5,7,10,11,11,13,11,10
12442,6,5,8,11,11,9,7,7,5,5,8,12,12,11,10,9,8,8,11,12,12,14,14,13
12451,5,5,7,11,11,9,7,5,4,2,8,12,13,9,8,9,9,8,12,12,11,14,15,13
12512,4,4,8,10,10,6,5,4,3,1,8,12,12,7,7,7,8,9,12,12,11,14,14,12
12551,5,5,7,11,11,7,5,5,3,0,8,12,13,7,7,7,7,8,13,12,11,13,14,12
12596,7,7,7,11,11,9,7,5,4,2,8,13,13,10,9,9,10,10,13,12,12,14,14,13
12626,5,7,8,9,10,8,7,5,3,0,7,12,13,9,10,9,9,10,13,12,12,15,14,13
12632,5,4,4,10,11,6,5,4,2,1,9,12,12,8,9,9,10,10,13,12,11,14,13,13
12691,4,4,5,9,11,6,5,3,2,0,7,12,12,7,8,8,9,10,12,10,10,13,13,13
12746,3,3,6,10,11,6,5,3,2,1,7,11,11,7,8,9,9,8,11,11,11,14,13,12
15041,2,2,7,9,9,5,3,1,1,0,6,11,11,5,4,2,4,5,10,12,11,10,12,11
15076,3,4,6,10,10,7,5,4,3,2,7,11,11,7,5,5,7,7,9,12,14,11,13,12
13061,4,5,11,12,10,5,4,3,1,3,11,14,13,7,7,6,7,8,13,14,13,12,13,13
13086,3,5,10,13,11,6,4,3,1,1,9,14,13,7,6,6,7,8,13,14,14,13,14,13
13121,3,4,10,13,11,6,4,4,3,3,10,13,12,8,7,7,9,10,13,14,14,14,15,13
13146,7,7,10,11,10,7,7,7,6,6,10,13,12,10,12,11,11,11,14,14,13,16,16,14
13181,6,6,9,13,12,8,6,5,4,4,10,14,14,10,8,8,10,11,14,15,15,14,15,14
